"№","Област","Общо","Средни училища","Спортни училища","Духовни училища","Профилирани гимназии","Професионални гимназии","Специални училища/Училища към местата за лишаване от свобода","Училища по изкуствата/по културата"
"1","Благоевград","2245","454","13","0","773","1005","0","0"
"2","Бургас","2620","746","38","0","811","977","0","48"
"3","Варна","2938","852","75","0","989","959","0","63"
"4","Велико Търново","1340","419","31","0","342","548","0","0"
"5","Видин","474","155","0","0","162","157","0","0"
"6","Враца","1070","532","28","0","201","306","1","2"
"7","Габрово","678","121","0","0","228","306","0","23"
"8","Добрич","812","266","21","0","211","314","0","0"
"9","Кърджали","886","465","0","29","176","216","0","0"
"10","Кюстендил","636","92","12","0","274","253","5","0"
"11","Ловеч","811","289","0","0","278","223","1","20"
"12","Монтана","740","93","0","0","257","390","0","0"
"13","Пазарджик","1388","450","0","0","369","569","0","0"
"14","Перник","648","102","16","0","214","316","0","0"
"15","Плевен","1413","336","44","0","303","680","0","50"
"16","Пловдив","3924","1045","63","0","1128","1568","0","120"
"17","Разград","747","101","19","0","247","380","0","0"
"18","Русе","1348","420","15","2","230","624","0","57"
"19","Силистра","610","206","16","0","129","259","0","0"
"20","Сливен","884","211","33","0","289","287","2","62"
"21","Смолян","802","382","3","0","189","203","0","25"
"22","София-град","8942","3636","300","9","2051","2410","2","534"
"23","София-област","1195","474","13","0","212","496","0","0"
"24","Стара Загора","1912","395","25","0","527","899","2","64"
"25","Търговище","608","176","9","0","123","300","0","0"
"26","Хасково","1154","300","18","0","428","408","0","0"
"27","Шумен","1060","429","0","26","244","361","0","0"
"28","Ямбол","608","65","11","0","256","276","0","0"
"29","в чужбина","17","17","0","0","0","0","0","0"
"","Всичко","42510","13229","803","66","11641","15690","13","1068"
